,barrio,ciudad_vivienda,departamento,metros,numero_habitaciones,pauta_destacada,pauta_oportunidad,precio,tipo_vivienda,url
2430,alferez,montería,córdoba,"85,00",3,1,0,800000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/monteria/alferez-det-5065533.aspx"
2431,la carolina,cartagena,bolívar,"57,00",2,1,0,850000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/cartagena/carolina-det-5054648.aspx"
2432,calleja baja,bogotá,cundinamarca,"158,00",4,1,0,3800000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/calleja_baja-det-4982826.aspx"
2433,suramerica,itaguí,antioquia,"75,00",3,1,0,1350000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/itagui/suramerica-det-5068785.aspx"
2434,gran horizonte,gachancipá,cundinamarca,"57,00",3,0,0,700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/gachancipa/gran_horizonte-det-5065385.aspx"
2435,miramar,barranquilla,atlántico,"72,00",3,0,0,1600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/barranquilla/miramar-det-5065383.aspx"
2436,los rosales,bogotá,cundinamarca,"181,00",3,1,0,4000000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/los_rosales-det-4907543.aspx"
2437,hacienda la estancia andalucía,bogotá,cundinamarca,"69,00",3,0,1,1490000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/hacienda_estancia_andalucia-det-4958961.aspx"
2438,santa bárbara occidental,bogotá,cundinamarca,"49,00",1,1,0,1800000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/santa_barbara_occidental-det-4881597.aspx"
2439,los rosales,bogotá,cundinamarca,"120,00",2,0,1,6000000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/los_rosales-det-5040467.aspx"
2440,calasanz,medellín,antioquia,"9,00",1,0,0,600000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/habitacion-en-arriendo/medellin/calasanz-det-5065379.aspx"
2441,patio bonito,bogotá,cundinamarca,"42,00",1,0,0,400000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartaestudio-en-arriendo/bogota/patio_bonito-det-5065371.aspx"
2442,canapote,cartagena,bolívar,"80,00",3,1,0,1700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/cartagena/canapote-det-5054561.aspx"
2443,los calamares,cartagena,bolívar,"119,00",2,1,0,1100000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/cartagena/los_calamares-det-5054387.aspx"
2444,la magnolia,envigado,antioquia,"85,00",3,1,0,1600000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/envigado/magnolia-det-5068754.aspx"
2445,normandía,bogotá,cundinamarca,"181,00",4,1,0,2590000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/bogota/normandia-det-5035333.aspx"
2446,las margaritas,envigado,antioquia,"72,00",3,1,0,1100000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/envigado/las_margaritas-det-5019937.aspx"
2447,britalia norte,bogotá,cundinamarca,"68,00",---,0,0,1500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/britalia_norte-det-5065352.aspx"
2448,nueva castilla,bogotá,cundinamarca,"15,00",1,0,0,350000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/habitacion-en-arriendo/bogota/nueva_castilla-det-5065347.aspx"
2449,belen,medellín,antioquia,"80,00",3,1,0,1500000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/medellin/belen-det-5068742.aspx"
2450,colina campestre,bogotá,cundinamarca,"62,00",3,1,0,1130000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|79||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/colina_campestre-det-4917811.aspx"
